paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
Iq1fNZus2W,6.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,4.0,4.0,,,
2hTLJEgCbv,3.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,2.0,,,
32mrjmaeMP,6.0,Borderline Accept,4.5,Accept (Poster),Accept,NO,0.0,0.0,6.0,6.0,4.0,2.0,,,
e9JphzQ5Gr,8.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,6.0,4.0,2.0,,
SkmkGKEZ1U,3.0,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
sJxBWDc8SM,6.5,Accept,3.5,Reject,Reject,NO,0.0,0.0,2.0,2.0,4.0,6.0,,,
pbbRmnFkjG,6.0,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,4.0,8.0,6.0,,,
SzXDuBN8M1,8.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,6.0,8.0,,,
FEqZmGl36g,8.0,Accept,4.8,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,6.0,6.0,,
5o0zF03RP9,4.0,Reject,0.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,0.0,0.0,0.0,,,
RT5SlprCmc,4.0,Reject,4.5,Reject,Reject,YES,0.0,0.0,6.0,6.0,2.0,4.0,,,
nHrYBGujps,6.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,6.0,8.0,8.0,8.0,,,
2eAGrunxVz,7.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,8.0,6.0,,,
1AYy3T3Xjk,6.0,Accept,2.5,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,2.0,,,
70n4clRSTj,6.0,Accept,3.5,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,2.0,8.0,2.0,,,
Vsgq2ldr4K,5.0,Reject,7.5,Accept (Oral),Accept,NO,0.0,0.0,8.0,8.0,6.0,8.0,,,
VmEkhV2yCX,6.0,Reject,5.0,Accept (Poster),Accept,NO,0.0,0.0,4.0,4.0,6.0,6.0,,,
OAXECnLxuk,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,4.0,6.0,6.0,,,
bm3rbtEMFj,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,4.0,,,
wkVsKDnl4s,5.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,0.0,,,
OUQ8kLRK3m,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,2.0,6.0,,,
e26MPyczN9,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,4.0,6.0,2.0,,
ngOOlatCK6,7.0,Accept,5.33,Reject,Reject,NO,0.0,0.0,6.0,6.0,4.0,,,,
s7oURFZTQD,5.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,4.0,4.0,,,
Rt9SeEAMWv,6.5,Accept,4.8,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,6.0,6.0,,
hQZQVLJrH9,5.0,Reject,4.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,2.0,6.0,6.0,,,
qPbDM5L8tE,4.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,4.0,,,
OPFE1zPYbU,4.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,0.0,2.0,0.0,2.0,,,
gTMzRm8fb0,7.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,4.0,4.0,,,
ulXBsAYSwU,5.0,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,0.0,,,,
khHNHzRjMy,6.0,Accept,3.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,2.0,2.0,,,
Vit5M0G5Gb,6.5,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,4.0,6.0,6.0,,
4Mvdn1m861,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,2.0,4.0,4.0,4.0,,,
b8TlYh6PN6,7.5,Accept,8.0,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,8.0,8.0,,,
MwuSvrthXq,7.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,4.0,,,
omg9K6lI93,5.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,0.0,,,
CrCPeM5fRB,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,4.0,2.0,4.0,4.0,,,
WxTlAbRUE6,6.0,Accept,2.5,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,2.0,,,
IHyY6vdYZw,8.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,2.0,6.0,,,
1CR1MTIgmq,3.5,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,,,,
JhziZbaefH,4.0,Reject,2.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,4.0,2.0,,,
TX4k7BF6aO,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,8.0,,,,
7yvz93kBw9,6.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,6.0,,,,
KsmTaPygR9,7.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,6.0,4.0,,,
BGEdvJ35PV,8.0,Accept,3.33,Reject,Reject,NO,0.0,0.0,4.0,2.0,4.0,,,,
jLO4pSi5Pt,7.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,4.0,6.0,,,
GiaF5cFIpI,4.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,6.0,2.0,4.0,2.0,,,
NlHHlqP1zk,6.0,Borderline Accept,4.67,Reject,Reject,NO,0.0,0.0,2.0,6.0,6.0,,,,
c339hUw3cy,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,6.0,2.0,,,
NIvqiJ8R4J,4.0,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,6.0,2.0,8.0,,,
1PIfB5w05x,8.0,Accept,7.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,6.0,,,
3wMdHl7JQ6,3.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,2.0,,,
0aBAAS0rRT,4.0,Reject,5.33,Accept (Poster),Accept,NO,0.0,0.0,6.0,4.0,6.0,,,,
Xpj0yeMhpz,8.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,8.0,10.0,,,
FlcMckO6x5,8.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,4.0,6.0,,,
3YKeB9R1g9,6.0,Accept,8.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,,,,
IdJakw2jta,6.0,Borderline Accept,4.5,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
0zKfU1rsXd,8.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
Me0n0iESJY,4.0,Reject,6.0,Accept (Poster),Accept,NO,0.0,0.0,4.0,8.0,8.0,4.0,,,
JEN4nsDgh9,6.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,4.0,4.0,2.0,4.0,,,
3V559xWIWc,8.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,6.0,2.0,,,
rzGEfYr2ZC,6.5,Accept,0.0,Reject,Reject,NO,0.0,0.0,0.0,0.0,0.0,,,,
c2ozZYoZFd,8.0,Accept,2.67,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,,,,
