paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
2rLgh5ewD6,8.0,Accept,2.67,Reject,Reject,NO,0.002716,0.0000,2.0,2.0,4.0,,,,
lZrZgZ9wIu,6.0,Accept,2.00,Reject,Reject,NO,0.001330,0.0000,2.0,2.0,2.0,2.0,,,
Gxw1EDSm9S,5.5,Accept,1.50,Reject,Reject,NO,0.002855,0.0000,2.0,2.0,2.0,0.0,,,
5izkRQEo5c,4.0,Reject,2.67,Reject,Reject,YES,0.000926,0.0000,4.0,2.0,2.0,,,,
zZ2RhS3nRI,3.0,Reject,2.50,Reject,Reject,YES,0.002546,0.0000,2.0,2.0,2.0,4.0,,,
wkRrpXD8Np,8.0,Accept,2.67,Reject,Reject,NO,0.002518,0.0000,2.0,2.0,4.0,,,,
s344pGE2JA,4.0,Reject,2.50,Reject,Reject,YES,0.002594,0.0000,2.0,2.0,2.0,4.0,,,
znuYrkEWmZ,5.0,Reject,2.40,Reject,Reject,YES,0.002305,0.0000,2.0,2.0,4.0,2.0,2.0,,
aY6RcnTH4v,8.0,Accept,2.50,Reject,Reject,NO,0.002382,0.0000,2.0,0.0,4.0,4.0,,,
Ys2OgNLNV7,3.0,Reject,2.00,Reject,Reject,YES,0.002536,0.0000,0.0,2.0,4.0,,,,
0xHWd4CUaX,3.0,Reject,2.00,Reject,Reject,YES,0.002067,0.0000,0.0,2.0,4.0,2.0,,,
4eZqQ0Qs8u,5.0,Reject,2.50,Reject,Reject,YES,0.001340,0.0000,2.0,4.0,2.0,2.0,,,
WkGnZsnCDR,5.0,Reject,2.00,Reject,Reject,YES,0.001098,0.0000,4.0,2.0,0.0,2.0,,,
4hkMvkzai5,7.5,Accept,2.80,Reject,Reject,NO,0.002406,0.0000,4.0,2.0,2.0,4.0,2.0,,
MhxBJsaeUr,6.0,Accept,2.67,Reject,Reject,NO,0.001880,0.0000,4.0,2.0,2.0,,,,
lJxRCW0UOI,6.5,Accept,1.33,Reject,Reject,NO,0.001225,0.0000,2.0,2.0,0.0,,,,
FNJhT5bL6n,3.0,Reject,2.50,Reject,Reject,YES,0.002468,0.0000,2.0,2.0,2.0,4.0,,,
iU6DisYw06,8.0,Accept,1.00,Reject,Reject,NO,0.001969,0.0000,0.0,0.0,2.0,2.0,,,
sknMpr8NWU,6.0,Accept,2.50,Reject,Reject,NO,0.002531,0.0000,2.0,2.0,2.0,4.0,,,
M4MeBjYiHl,4.0,Reject,2.00,Reject,Reject,YES,0.002894,0.0000,2.0,2.0,2.0,2.0,,,
56W2REpMPw,3.0,Reject,2.00,Reject,Reject,YES,0.001483,0.0000,2.0,2.0,2.0,2.0,,,
C3FEh03LMO,2.0,Reject,1.50,Reject,Reject,YES,0.002325,0.0000,0.0,0.0,0.0,6.0,,,
P7NUVF6wo4,7.0,Accept,2.80,Reject,Reject,NO,0.002575,0.0000,2.0,2.0,6.0,2.0,2.0,,
