paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
Iq1fNZus2W,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.144402,0.0000,2.0,2.0,4.0,4.0,,,
gubSyVxWdG,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.178226,0.0000,8.0,2.0,8.0,6.0,,,
SkmkGKEZ1U,3.0,Reject,0.50,Reject,Reject,YES,0.112902,0.0000,0.0,0.0,2.0,0.0,,,
2hTLJEgCbv,1.0,Reject,1.00,Reject,Reject,YES,0.108188,0.0000,0.0,0.0,2.0,2.0,,,
e9JphzQ5Gr,6.5,Accept,4.0,Reject,NO,0.168579,0.0000,6.0,2.0,6.0,4.0,2.0,,
1AYy3T3Xjk,4.0,Reject,2.50,Reject,Reject,YES,0.144599,0.0000,2.0,4.0,2.0,2.0,,,
RT5SlprCmc,6.0,Accept,4.50,Reject,Reject,NO,0.129252,0.0000,6.0,6.0,2.0,4.0,,,
s7oURFZTQD,5.5,Reject,3.00,Reject,Reject,YES,0.213939,0.0000,2.0,2.0,4.0,4.0,,,
hQZQVLJrH9,4.0,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.152553,0.0000,4.0,2.0,6.0,6.0,,,
bm3rbtEMFj,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.171259,0.0000,6.0,6.0,4.0,4.0,,,
OPFE1zPYbU,4.0,Reject,1.00,Reject,Reject,YES,0.147328,0.0000,0.0,2.0,0.0,2.0,,,
Rt9SeEAMWv,6.0,Accept,4.80,Reject,Reject,NO,0.316829,0.0000,6.0,4.0,2.0,6.0,6.0,,
VmEkhV2yCX,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.174546,0.0000,4.0,4.0,6.0,6.0,,,
wkVsKDnl4s,4.0,Reject,1.00,Reject,Reject,YES,0.152881,0.0000,2.0,0.0,2.0,0.0,,,
2eAGrunxVz,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.273596,0.0000,8.0,8.0,8.0,6.0,,,
sJxBWDc8SM,6.0,Accept,3.50,Reject,Reject,NO,0.180329,0.0000,2.0,2.0,4.0,6.0,,,
ngOOlatCK6,6.0,Accept,5.33,Reject,Reject,NO,0.178706,0.0000,6.0,6.0,4.0,,,,
