paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
sJxBWDc8SM,6.0,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,6.0,,,
SkmkGKEZ1U,3.0,Reject,0.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,0.0,,,
s7oURFZTQD,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
wkVsKDnl4s,4.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
2hTLJEgCbv,3.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
Iq1fNZus2W,5.5,Reject,3.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
hQZQVLJrH9,5.5,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,2.0,6.0,6.0,,,
RT5SlprCmc,5.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,2.0,4.0,,,
ngOOlatCK6,6.0,Accept,5.33,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,4.0,,,,
2eAGrunxVz,5.0,Reject,7.50,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
qPbDM5L8tE,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
OUQ8kLRK3m,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,2.0,6.0,,,
bm3rbtEMFj,5.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,4.0,,,
Rt9SeEAMWv,5.0,Reject,4.80,Reject,Reject,YES,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
VmEkhV2yCX,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
OPFE1zPYbU,3.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,0.0,2.0,,,
e26MPyczN9,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,4.0,4.0,4.0,6.0,2.0,,
e9JphzQ5Gr,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,2.0,6.0,4.0,2.0,,
1AYy3T3Xjk,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
gubSyVxWdG,6.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,2.0,8.0,6.0,,,
OAXECnLxuk,7.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,4.0,6.0,6.0,,,
5o0zF03RP9,3.5,Reject,0.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,0.0,0.0,0.0,,,
Vsgq2ldr4K,5.5,Reject,7.50,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
FEqZmGl36g,6.0,Accept,4.80,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
SzXDuBN8M1,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
pbbRmnFkjG,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,4.0,8.0,6.0,,,
32mrjmaeMP,6.5,Accept,4.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,2.0,,,
nHrYBGujps,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
70n4clRSTj,5.0,Reject,3.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,8.0,2.0,,,
omg9K6lI93,4.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
ulXBsAYSwU,5.0,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,0.0,,,,
Vit5M0G5Gb,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,4.0,6.0,6.0,,
khHNHzRjMy,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,2.0,2.0,,,
b8TlYh6PN6,6.0,Accept,8.00,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
gTMzRm8fb0,5.0,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,4.0,4.0,,,
1CR1MTIgmq,3.0,Reject,0.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,0.0,,,,
CrCPeM5fRB,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,4.0,,,
JhziZbaefH,3.5,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
1PIfB5w05x,5.5,Reject,7.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
KsmTaPygR9,5.5,Reject,5.50,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,6.0,4.0,,,
TX4k7BF6aO,5.5,Reject,5.33,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,4.0,8.0,,,,
4Mvdn1m861,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,4.0,4.0,,,
WxTlAbRUE6,6.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
c339hUw3cy,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,6.0,2.0,,,
BGEdvJ35PV,5.0,Reject,3.33,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,,,,
MwuSvrthXq,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,4.0,2.0,4.0,,,
0aBAAS0rRT,4.5,Reject,5.33,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,4.0,6.0,,,,
GiaF5cFIpI,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,4.0,2.0,,,
IHyY6vdYZw,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,8.0,2.0,6.0,,,
3wMdHl7JQ6,3.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,0.0,2.0,,,
Xpj0yeMhpz,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,8.0,10.0,,,
NIvqiJ8R4J,3.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,6.0,2.0,8.0,,,
NlHHlqP1zk,6.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,2.0,6.0,6.0,,,,
0zKfU1rsXd,5.5,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
jLO4pSi5Pt,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,4.0,6.0,,,
