paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
e9JphzQ5Gr,6.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,2.0,6.0,4.0,2.0,,
OUQ8kLRK3m,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,2.0,2.0,6.0,,,
2hTLJEgCbv,2.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
ngOOlatCK6,6.5,Accept,5.33,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,4.0,,,,
sJxBWDc8SM,6.5,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,6.0,,,
SkmkGKEZ1U,4.0,Reject,0.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,0.0,,,
qPbDM5L8tE,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
e26MPyczN9,6.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,4.0,4.0,4.0,6.0,2.0,,
Iq1fNZus2W,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
VmEkhV2yCX,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
RT5SlprCmc,6.5,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,2.0,4.0,,,
Rt9SeEAMWv,6.0,Accept,4.80,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
s7oURFZTQD,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
OPFE1zPYbU,4.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,0.0,2.0,,,
1AYy3T3Xjk,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
bm3rbtEMFj,7.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,4.0,,,
hQZQVLJrH9,5.5,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,4.0,2.0,6.0,6.0,,,
2eAGrunxVz,6.5,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
wkVsKDnl4s,5.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
gubSyVxWdG,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,2.0,8.0,6.0,,,
5o0zF03RP9,3.5,Reject,0.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,0.0,0.0,0.0,,,
SzXDuBN8M1,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
70n4clRSTj,6.5,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,2.0,2.0,8.0,2.0,,,
OAXECnLxuk,7.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,4.0,6.0,6.0,,,
omg9K6lI93,4.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
FEqZmGl36g,7.0,Accept,4.80,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
Vit5M0G5Gb,7.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,4.0,6.0,6.0,,
Vsgq2ldr4K,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
ulXBsAYSwU,5.5,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,0.0,,,,
1PIfB5w05x,7.0,Accept,7.50,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
32mrjmaeMP,7.0,Accept,4.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,2.0,,,
nHrYBGujps,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
CrCPeM5fRB,5.0,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,4.0,4.0,,,
pbbRmnFkjG,6.5,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,4.0,8.0,6.0,,,
JhziZbaefH,5.0,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
b8TlYh6PN6,7.5,Accept,8.00,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
khHNHzRjMy,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,2.0,2.0,,,
gTMzRm8fb0,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,8.0,4.0,4.0,,,
KsmTaPygR9,6.5,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,8.0,6.0,4.0,,,
TX4k7BF6aO,6.5,Accept,5.33,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,4.0,8.0,,,,
GiaF5cFIpI,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,4.0,2.0,,,
7yvz93kBw9,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,,,,
MwuSvrthXq,7.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,4.0,,,
4Mvdn1m861,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,4.0,4.0,,,
IHyY6vdYZw,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,8.0,2.0,6.0,,,
WxTlAbRUE6,6.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
c339hUw3cy,6.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,2.0,6.0,2.0,,,
NlHHlqP1zk,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,2.0,6.0,6.0,,,,
0zKfU1rsXd,7.0,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
0aBAAS0rRT,6.0,Reject,5.33,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,4.0,6.0,,,,
1CR1MTIgmq,4.0,Reject,0.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,0.0,,,,
3YKeB9R1g9,7.0,Accept,8.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,,,,
IdJakw2jta,5.5,Accept,4.50,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,4.0,6.0,4.0,4.0,,,
FlcMckO6x5,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,4.0,6.0,,,
jLO4pSi5Pt,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,6.0,4.0,6.0,,,
BGEdvJ35PV,6.5,Accept,3.33,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,4.0,,,,
NIvqiJ8R4J,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,4.0,6.0,2.0,8.0,,,
HHYd4Pz5Lp,6.5,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,0.0,2.0,2.0,,,,
3wMdHl7JQ6,5.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,0.0,2.0,,,
RtS4UqSmNt,7.0,Accept,6.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,2.0,8.0,8.0,,,
rzGEfYr2ZC,6.0,Accept,0.00,Reject,Reject,NO,0.0000,0.0000,0.0,0.0,0.0,,,,
JEN4nsDgh9,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,4.0,4.0,2.0,4.0,,,
