paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
SkmkGKEZ1U,3.0,Reject,0.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,0.0,,,
SzXDuBN8M1,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
ngOOlatCK6,6.0,Accept,5.33,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,4.0,,,,
FEqZmGl36g,7.5,Accept,4.80,Reject,Reject,NO,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
OAXECnLxuk,7.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,4.0,6.0,6.0,,,
gubSyVxWdG,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,2.0,8.0,6.0,,,
RT5SlprCmc,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,2.0,4.0,,,
1AYy3T3Xjk,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
qPbDM5L8tE,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
2hTLJEgCbv,3.0,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
Iq1fNZus2W,5.5,Reject,3.00,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
OPFE1zPYbU,4.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,0.0,2.0,,,
pbbRmnFkjG,5.5,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,4.0,8.0,6.0,,,
hQZQVLJrH9,6.0,Accept,4.50,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,4.0,2.0,6.0,6.0,,,
bm3rbtEMFj,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,4.0,,,
32mrjmaeMP,7.0,Accept,4.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,4.0,2.0,,,
5o0zF03RP9,3.0,Reject,0.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,0.0,0.0,0.0,,,
e9JphzQ5Gr,6.5,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,6.0,2.0,6.0,4.0,2.0,,
s7oURFZTQD,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,4.0,,,
Vsgq2ldr4K,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
e26MPyczN9,6.0,Accept,4.00,Reject,Reject,NO,0.0000,0.0000,4.0,4.0,4.0,6.0,2.0,,
gTMzRm8fb0,5.5,Reject,5.00,Accept (Poster),Accept,NO,0.0000,0.0000,4.0,8.0,4.0,4.0,,,
70n4clRSTj,6.0,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,0.0000,0.0000,2.0,2.0,8.0,2.0,,,
wkVsKDnl4s,5.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,2.0,0.0,,,
OUQ8kLRK3m,3.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,6.0,2.0,2.0,6.0,,,
sJxBWDc8SM,6.5,Accept,3.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,6.0,,,
Rt9SeEAMWv,6.0,Reject,4.80,Reject,Reject,YES,0.0000,0.0000,6.0,4.0,2.0,6.0,6.0,,
VmEkhV2yCX,6.5,Accept,5.00,Accept (Poster),Accept,YES,0.0000,0.0000,4.0,4.0,6.0,6.0,,,
2eAGrunxVz,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
ulXBsAYSwU,4.5,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,0.0,,,,
JhziZbaefH,5.0,Reject,2.50,Withdrawn (treated as Reject),Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
