paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
xXTkbTBmqq,7.0,Accept,8.67,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,10.0,,,,
RxhOEngX8s,6.0,Accept,4.25,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,5.0,6.0,,,
k7UQ96cHzc,6.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,8.0,3.0,5.0,6.0,,,
ZCOwwRAaEl,4.0,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
hQVCCxQrYN,5.5,Reject,6.67,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,,,,
rSAPrQzoQa,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,6.0,6.0,,,
RvUVMjfp8i,4.5,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
io8uRPYktn,2.0,Reject,7.00,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
0FbzC7B9xI,5.0,Reject,6.60,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,8.0,5.0,6.0,,
q5EZ7gKcnW,7.0,Accept,7.25,Accept,Accept,YES,0.0000,0.0000,8.0,5.0,8.0,8.0,,,
6mLjDwYte5,6.0,Accept,6.75,Accept,Accept,YES,0.0000,0.0000,8.0,6.0,5.0,8.0,,,
rzF0R6GOd4,4.5,Reject,8.00,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
L8UNn7Llt4,7.0,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
SoismgeX7z,7.0,Accept,7.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,8.0,8.0,,,
vJ0axKTh7t,5.0,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
5M0ic2RxQZ,5.5,Reject,6.67,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,8.0,,,,
ewZSzO6bts,4.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,3.0,3.0,,,
XjlZJJFyla,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,6.0,,,
UXALv0lJZS,4.5,Reject,6.00,Accept,Accept,NO,0.0000,0.0000,6.0,6.0,6.0,,,,
g9diuvxN6D,7.0,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
sW95puhphh,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,6.0,,,
n9PDaFNi8t,6.5,Accept,7.50,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
4y3GDTFv70,5.0,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,6.0,,,
FOcleL0ltt,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
9U8IwSewJy,6.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,3.0,,,
6bcAD6g688,5.5,Reject,5.75,Accept,Accept,NO,0.0000,0.0000,5.0,6.0,6.0,6.0,,,
uuCcK4cmlH,5.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
nwjgeFGbAF,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,5.0,3.0,,,
BfNylgbDuy,4.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,3.0,,,
3lfSk8NWWp,5.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,3.0,,,
YCOVTlMFIG,6.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,8.0,5.0,3.0,3.0,
AvXrppAS2o,1.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,5.0,3.0,
yOrtDi6IXs,4.5,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,6.0,3.0,,,
ReccFdn4zE,4.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,3.0,1.0,,,
NzEIjnIIzv,6.0,Accept,7.25,Reject,Reject,NO,0.0000,0.0000,6.0,10.0,5.0,8.0,,,
OdoS6cH8MP,4.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,1.0,3.0,,,
cADdVJYiIG,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,5.0,1.0,1.0,3.0,,,
1KvYxcAihR,6.5,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,8.0,5.0,,,
Q1u25ahSuy,7.0,Accept,6.50,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
3mnWvUZIXt,6.0,Accept,7.25,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,5.0,8.0,,,
AtLW9HU3bo,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,3.0,,,
C61sk5LsK6,5.5,Reject,7.00,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
UAzVXdgheU,6.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,,,,
ltutP1Iwqq,4.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,5.0,3.0,,
