paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
gubSyVxWdG,9.9995,N/A,6.00,Accept (Poster),Accept,N/A,0.0000,0.0000,8,2,8,6,,,
SkmkGKEZ1U,0.0005,N/A,0.50,Reject,Reject,N/A,0.0000,0.0000,0,0,2,0,,,
2hTLJEgCbv,1.4791,N/A,1.00,Reject,Reject,N/A,0.0000,0.0000,0,0,2,2,,,
Iq1fNZus2W,5.3949,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0000,0.0000,2,2,4,4,,,
e9JphzQ5Gr,9.9995,N/A,4.00,Reject,Reject,N/A,0.0000,0.0000,6,2,6,4,2,,
1AYy3T3Xjk,6.7337,N/A,2.50,Reject,Reject,N/A,0.0000,0.0000,2,4,2,2,,,
RT5SlprCmc,9.9996,N/A,4.50,Reject,Reject,N/A,0.0000,0.0000,6,6,2,4,,,
hQZQVLJrH9,4.4470,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0000,0.0000,4,2,6,6,,,
bm3rbtEMFj,5.9697,N/A,5.00,Accept (Poster),Accept,N/A,0.0000,0.0000,6,6,4,4,,,
s7oURFZTQD,9.9996,N/A,3.00,Reject,Reject,N/A,0.0000,0.0000,2,2,4,4,,,
Rt9SeEAMWv,9.9996,N/A,4.80,Reject,Reject,N/A,0.0000,0.0000,6,4,2,6,6,,
OPFE1zPYbU,5.7408,N/A,1.00,Reject,Reject,N/A,0.0000,0.0000,0,2,0,2,,,
VmEkhV2yCX,9.9995,N/A,5.00,Accept (Poster),Accept,N/A,0.0000,0.0000,4,4,6,6,,,
2eAGrunxVz,9.9995,N/A,7.50,Accept (Oral),Accept,N/A,0.0000,0.0000,8,8,8,6,,,
wkVsKDnl4s,5.4809,N/A,1.00,Reject,Reject,N/A,0.0000,0.0000,2,0,2,0,,,
sJxBWDc8SM,9.9997,N/A,3.50,Reject,Reject,N/A,0.0000,0.0000,2,2,4,6,,,
OUQ8kLRK3m,7.9188,N/A,4.00,Reject,Reject,N/A,0.0000,0.0000,6,2,2,6,,,
ngOOlatCK6,9.9995,N/A,5.33,Reject,Reject,N/A,0.0000,0.0000,6,6,4,,,,
OAXECnLxuk,9.9996,N/A,5.50,Accept (Poster),Accept,N/A,0.0000,0.0000,6,4,6,6,,,
qPbDM5L8tE,5.0067,N/A,2.50,Reject,Reject,N/A,0.0000,0.0000,2,2,2,4,,,
e26MPyczN9,9.9995,N/A,4.00,Reject,Reject,N/A,0.0000,0.0000,4,4,4,6,2,,
