paper_id,pred_score,pred_decision,originality,importance,claims_supported,soundness,clarity,community_value
SkmkGKEZ1U,2.0,Reject,3,3,1,1,1,2
Iq1fNZus2W,5.0,Reject,3,4,2,2,3,3
2hTLJEgCbv,2.0,Reject,1,2,1,2,2,1
gubSyVxWdG,7.0,Accept,4,4,3,3,4,4
RT5SlprCmc,5.5,Reject,3,4,3,3,4,4
1AYy3T3Xjk,4.5,Reject,3,4,2,3,3,3
e9JphzQ5Gr,7.0,Accept,4,4,4,3,4,4
hQZQVLJrH9,4.5,Reject,3,3,2,2,3,3
OPFE1zPYbU,4.5,Reject,3,3,2,2,3,3
Rt9SeEAMWv,7.0,Accept,4,4,3,3,4,4
s7oURFZTQD,4.5,Reject,3,3,2,2,3,3
wkVsKDnl4s,4.5,Reject,2,4,2,3,3,3
VmEkhV2yCX,6.5,Accept,4,4,3,3,4,4
2eAGrunxVz,7.0,Accept,4,4,3,4,4,4
bm3rbtEMFj,6.5,Accept,3,4,3,3,4,4
ngOOlatCK6,7.5,Accept,4,4,4,3,4,4
OAXECnLxuk,7.0,Accept,3,4,3,4,3,4
OUQ8kLRK3m,5.0,Reject,3,4,3,3,3,4
sJxBWDc8SM,6.5,Accept,3,4,3,4,4,4
5o0zF03RP9,2.5,Reject,2,3,1,1,2,1
qPbDM5L8tE,4.5,Reject,3,4,2,2,3,3
e26MPyczN9,5.5,Reject,3,4,2,3,4,4
FEqZmGl36g,6.5,Accept,4,4,3,4,4,4
Vsgq2ldr4K,6.0,Accept,4,4,3,3,4,4
SzXDuBN8M1,7.0,Accept,4,4,3,3,4,4
gTMzRm8fb0,6.0,Accept,3,4,3,3,3,4
pbbRmnFkjG,6.5,Accept,3,4,3,3,4,4
70n4clRSTj,6.5,Accept,4,4,3,3,3,4
32mrjmaeMP,7.5,Accept,4,4,4,4,4,4
nHrYBGujps,6.5,Accept,4,4,3,3,4,4
khHNHzRjMy,5.5,Accept,4,4,3,3,4,4
omg9K6lI93,3.5,Reject,3,4,2,2,3,3
ulXBsAYSwU,4.0,Reject,2,4,2,2,4,3
Vit5M0G5Gb,7.5,Accept,4,4,3,4,4,4
CrCPeM5fRB,4.0,Reject,3,3,2,3,4,3
VK5G3Ff4Ty,3.5,Reject,3,4,2,2,2,3
1CR1MTIgmq,6.5,Accept,3,5,4,4,3,4
JhziZbaefH,4.5,Reject,4,4,2,3,3,3
lZrZgZ9wIu,4.5,Reject,3,3,3,3,3,3
jLO4pSi5Pt,7.0,Accept,4,4,3,4,4,4
1PIfB5w05x,7.0,Accept,4,3,3,4,4,4
cmzeMZNsmm,6.0,Accept,3,4,3,3,3,4
4Mvdn1m861,4.5,Reject,3,3,2,3,3,3
Q6TymStAvS,5.5,Accept,4,3,3,3,4,3
KsmTaPygR9,7.0,Accept,4,5,3,3,4,4
ikthqd3qF4,7.0,Accept,4,4,3,4,4,4
b8TlYh6PN6,7.5,Accept,5,4,4,4,4,4
