paper_id,pred_score,pred_decision,originality,importance,claims_supported,soundness,clarity,community_value,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
SkmkGKEZ1U,2.0,Reject,3,3,1,1,1,2,0.5,Reject,Reject,YES,0.006638,0.0,0.0,0.0,2.0,0.0,,,
Iq1fNZus2W,5.0,Reject,3,4,2,2,3,3,3.0,Withdrawn (treated as Reject),Reject,NO,0.00965,0.0,2.0,2.0,4.0,4.0,,,
2hTLJEgCbv,2.0,Reject,1,2,1,2,2,1,1.0,Reject,Reject,YES,0.005337,0.0,0.0,0.0,2.0,2.0,,,
gubSyVxWdG,7.0,Accept,4,4,3,3,4,4,6.0,Accept (Poster),Accept,YES,0.027384,0.0,8.0,2.0,8.0,6.0,,,
RT5SlprCmc,5.5,Reject,3,4,3,3,4,4,4.5,Reject,Reject,NO,0.007139,0.0,6.0,6.0,2.0,4.0,,,
1AYy3T3Xjk,4.5,Reject,3,4,2,3,3,3,2.5,Reject,Reject,YES,0.007307,0.0,2.0,4.0,2.0,2.0,,,
e9JphzQ5Gr,7.0,Accept,4,4,4,3,4,4,4.0,Reject,Reject,NO,0.021034,0.0,6.0,2.0,6.0,4.0,2.0,,
hQZQVLJrH9,4.5,Reject,3,3,2,2,3,3,4.5,Withdrawn (treated as Reject),Reject,YES,0.022574,0.0,4.0,2.0,6.0,6.0,,,
OPFE1zPYbU,4.5,Reject,3,3,2,2,3,3,1.0,Reject,Reject,YES,0.00807,0.0,0.0,2.0,0.0,2.0,,,
Rt9SeEAMWv,7.0,Accept,4,4,3,3,4,4,4.8,Reject,Reject,NO,0.010147,0.0,6.0,4.0,2.0,6.0,6.0,,
s7oURFZTQD,4.5,Reject,3,3,2,2,3,3,3.0,Reject,Reject,YES,0.010758,0.0,2.0,2.0,4.0,4.0,,,
wkVsKDnl4s,4.5,Reject,2,4,2,3,3,3,1.0,Reject,Reject,YES,0.008189,0.0,2.0,0.0,2.0,0.0,,,
VmEkhV2yCX,6.5,Accept,4,4,3,3,4,4,5.0,Accept (Poster),Accept,YES,0.021388,0.0,4.0,4.0,6.0,6.0,,,
2eAGrunxVz,7.0,Accept,4,4,3,4,4,4,7.5,Accept (Oral),Accept,YES,0.009657,0.0,8.0,8.0,8.0,6.0,,,
bm3rbtEMFj,6.5,Accept,3,4,3,3,4,4,5.0,Accept (Poster),Accept,YES,0.009157,0.0,6.0,6.0,4.0,4.0,,,
ngOOlatCK6,7.5,Accept,4,4,4,3,4,4,5.33,Reject,Reject,NO,0.022629,0.0,6.0,6.0,4.0,,,,
OAXECnLxuk,7.0,Accept,3,4,3,4,3,4,5.5,Accept (Poster),Accept,YES,0.008425,0.0,6.0,4.0,6.0,6.0,,,
OUQ8kLRK3m,5.0,Reject,3,4,3,3,3,4,4.0,Reject,Reject,NO,0.024357,0.0,6.0,2.0,2.0,6.0,,,
