paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
gubSyVxWdG,8.0,Accept,6.00,Accept (Poster),Accept,YES,0.002067,0.0000,8.0,2.0,8.0,6.0,,,
1AYy3T3Xjk,6.0,Accept,2.50,Reject,Reject,NO,0.002177,0.0000,2.0,4.0,2.0,2.0,,,
RT5SlprCmc,8.0,Accept,4.50,Reject,Reject,NO,0.002595,0.0000,6.0,6.0,2.0,4.0,,,
hQZQVLJrH9,6.0,Accept,4.50,Withdrawn (treated as Reject),Reject,NO,0.001527,0.0000,4.0,2.0,6.0,6.0,,,
2hTLJEgCbv,4.0,Reject,1.00,Reject,Reject,YES,0.001362,0.0000,0.0,0.0,2.0,2.0,,,
e9JphzQ5Gr,9.0,Accept,4.00,Reject,Reject,NO,0.002729,0.0000,6.0,2.0,6.0,4.0,2.0,,
SkmkGKEZ1U,3.0,Reject,0.50,Reject,Reject,YES,0.001924,0.0000,0.0,0.0,2.0,0.0,,,
sJxBWDc8SM,8.0,Accept,3.50,Reject,Reject,NO,0.002338,0.0000,2.0,2.0,4.0,6.0,,,
Iq1fNZus2W,6.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.002860,0.0000,2.0,2.0,4.0,4.0,,,
bm3rbtEMFj,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.002963,0.0000,6.0,6.0,4.0,4.0,,,
s7oURFZTQD,5.0,Reject,3.00,Reject,Reject,YES,0.002619,0.0000,2.0,2.0,4.0,4.0,,,
Rt9SeEAMWv,8.0,Accept,4.80,Reject,Reject,NO,0.001978,0.0000,6.0,4.0,2.0,6.0,6.0,,
OPFE1zPYbU,4.0,Reject,1.00,Reject,Reject,YES,0.002213,0.0000,0.0,2.0,0.0,2.0,,,
wkVsKDnl4s,4.0,Reject,1.00,Reject,Reject,YES,0.002750,0.0000,2.0,0.0,2.0,0.0,,,
ngOOlatCK6,8.0,Accept,5.33,Reject,Reject,NO,0.003001,0.0000,6.0,6.0,4.0,,,,
