paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
gubSyVxWdG,8.0,Accept,6.00,Accept (Poster),Accept,YES,0.003051,0.0000,8.0,2.0,8.0,6.0,,,
2hTLJEgCbv,3.0,Reject,1.00,Reject,Reject,YES,0.001192,0.0000,0.0,0.0,2.0,2.0,,,
e9JphzQ5Gr,8.0,Accept,4.00,Reject,Reject,NO,0.002653,0.0000,6.0,2.0,6.0,4.0,2.0,,
SkmkGKEZ1U,2.0,Reject,0.50,Reject,Reject,YES,0.001944,0.0000,0.0,0.0,2.0,0.0,,,
s7oURFZTQD,3.0,Reject,3.00,Reject,Reject,YES,0.002208,0.0000,2.0,2.0,4.0,4.0,,,
RT5SlprCmc,6.0,Accept,4.50,Reject,Reject,NO,0.001667,0.0000,6.0,6.0,2.0,4.0,,,
Iq1fNZus2W,7.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.002775,0.0000,2.0,2.0,4.0,4.0,,,
1AYy3T3Xjk,6.0,Accept,2.50,Reject,Reject,NO,0.002500,0.0000,2.0,4.0,2.0,2.0,,,
2eAGrunxVz,8.0,Accept,7.50,Accept (Oral),Accept,YES,0.002497,0.0000,8.0,8.0,8.0,6.0,,,
hQZQVLJrH9,4.0,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.001579,0.0000,4.0,2.0,6.0,6.0,,,
bm3rbtEMFj,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.003011,0.0000,6.0,6.0,4.0,4.0,,,
OPFE1zPYbU,3.0,Reject,1.00,Reject,Reject,YES,0.002237,0.0000,0.0,2.0,0.0,2.0,,,
ngOOlatCK6,8.0,Accept,5.33,Reject,Reject,NO,0.001951,0.0000,6.0,6.0,4.0,,,,
qPbDM5L8tE,4.0,Reject,2.50,Reject,Reject,YES,0.003185,0.0000,2.0,2.0,2.0,4.0,,,
VmEkhV2yCX,7.0,Accept,5.00,Accept (Poster),Accept,YES,0.002229,0.0000,4.0,4.0,6.0,6.0,,,
sJxBWDc8SM,8.0,Accept,3.50,Reject,Reject,NO,0.002436,0.0000,2.0,2.0,4.0,6.0,,,
5o0zF03RP9,3.0,Reject,0.50,Withdrawn (treated as Reject),Reject,YES,0.002188,0.0000,2.0,0.0,0.0,0.0,,,
wkVsKDnl4s,6.0,Accept,1.00,Reject,Reject,NO,0.002682,0.0000,2.0,0.0,2.0,0.0,,,
Rt9SeEAMWv,6.0,Accept,4.80,Reject,Reject,NO,0.002843,0.0000,6.0,4.0,2.0,6.0,6.0,,
OUQ8kLRK3m,7.0,Accept,4.00,Reject,Reject,NO,0.002478,0.0000,6.0,2.0,2.0,6.0,,,
e26MPyczN9,6.0,Accept,4.00,Reject,Reject,NO,0.002677,0.0000,4.0,4.0,4.0,6.0,2.0,,
Vsgq2ldr4K,6.5,Accept,7.50,Accept (Oral),Accept,YES,0.002740,0.0000,8.0,8.0,6.0,8.0,,,
OAXECnLxuk,6.0,Reject,5.50,Accept (Poster),Accept,NO,0.002373,0.0000,6.0,4.0,6.0,6.0,,,
omg9K6lI93,5.0,Reject,1.00,Reject,Reject,YES,0.001717,0.0000,2.0,0.0,2.0,0.0,,,
