paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
32mrjmaeMP,6.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,2.0,,,
5o0zF03RP9,3.0,Reject,0.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,0.0,0.0,0.0,,,
SkmkGKEZ1U,3.0,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
sJxBWDc8SM,6.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,2.0,2.0,4.0,6.0,,,
Rt9SeEAMWv,5.5,Reject,4.8,Reject,Reject,YES,0.0,0.0,6.0,4.0,2.0,6.0,6.0,,
qPbDM5L8tE,5.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,4.0,,,
Vsgq2ldr4K,5.5,Reject,7.5,Accept (Oral),Accept,NO,0.0,0.0,8.0,8.0,6.0,8.0,,,
2hTLJEgCbv,2.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,2.0,,,
bm3rbtEMFj,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,4.0,,,
1AYy3T3Xjk,5.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,4.0,2.0,2.0,,,
Iq1fNZus2W,5.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,4.0,4.0,,,
e9JphzQ5Gr,6.5,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,2.0,6.0,4.0,2.0,,
pbbRmnFkjG,5.0,Reject,6.5,Accept (Poster),Accept,NO,0.0,0.0,8.0,4.0,8.0,6.0,,,
e26MPyczN9,5.5,Reject,4.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,4.0,6.0,2.0,,
OPFE1zPYbU,3.5,Reject,1.0,Reject,Reject,YES,0.0,0.0,0.0,2.0,0.0,2.0,,,
SzXDuBN8M1,7.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,6.0,8.0,,,
RT5SlprCmc,5.5,Reject,4.5,Reject,Reject,YES,0.0,0.0,6.0,6.0,2.0,4.0,,,
nHrYBGujps,7.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,6.0,8.0,8.0,8.0,,,
s7oURFZTQD,4.5,Reject,3.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,4.0,4.0,,,
2eAGrunxVz,5.0,Reject,7.5,Accept (Oral),Accept,NO,0.0,0.0,8.0,8.0,8.0,6.0,,,
FEqZmGl36g,6.0,Accept,4.8,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,6.0,6.0,,
