paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
gubSyVxWdG,7.0,Accept,6.00,Accept (Poster),Accept,YES,0.003070,0.0000,8.0,2.0,8.0,6.0,,,
Iq1fNZus2W,8.0,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,0.002620,0.0000,2.0,2.0,4.0,4.0,,,
SkmkGKEZ1U,3.0,Reject,0.50,Reject,Reject,YES,0.001381,0.0000,0.0,0.0,2.0,0.0,,,
e9JphzQ5Gr,8.0,Accept,4.00,Reject,Reject,NO,0.001672,0.0000,6.0,2.0,6.0,4.0,2.0,,
1AYy3T3Xjk,4.0,Reject,2.50,Reject,Reject,YES,0.002011,0.0000,2.0,4.0,2.0,2.0,,,
bm3rbtEMFj,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.002350,0.0000,6.0,6.0,4.0,4.0,,,
2hTLJEgCbv,4.0,Reject,1.00,Reject,Reject,YES,0.001509,0.0000,0.0,0.0,2.0,2.0,,,
RT5SlprCmc,6.0,Accept,4.50,Reject,Reject,NO,0.001461,0.0000,6.0,6.0,2.0,4.0,,,
s7oURFZTQD,4.0,Reject,3.00,Reject,Reject,YES,0.003566,0.0000,2.0,2.0,4.0,4.0,,,
Rt9SeEAMWv,6.0,Accept,4.80,Reject,Reject,NO,0.003095,0.0000,6.0,4.0,2.0,6.0,6.0,,
OPFE1zPYbU,3.0,Reject,1.00,Reject,Reject,YES,0.002272,0.0000,0.0,2.0,0.0,2.0,,,
hQZQVLJrH9,4.0,Reject,4.50,Withdrawn (treated as Reject),Reject,YES,0.001635,0.0000,4.0,2.0,6.0,6.0,,,
VmEkhV2yCX,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.002668,0.0000,4.0,4.0,6.0,6.0,,,
wkVsKDnl4s,4.0,Reject,1.00,Reject,Reject,YES,0.002518,0.0000,2.0,0.0,2.0,0.0,,,
OUQ8kLRK3m,6.0,Accept,4.00,Reject,Reject,NO,0.003067,0.0000,6.0,2.0,2.0,6.0,,,
e26MPyczN9,6.0,Accept,4.00,Reject,Reject,NO,0.001671,0.0000,4.0,4.0,4.0,6.0,2.0,,
qPbDM5L8tE,4.0,Reject,2.50,Reject,Reject,YES,0.002738,0.0000,2.0,2.0,2.0,4.0,,,
sJxBWDc8SM,6.0,Accept,3.50,Reject,Reject,NO,0.002180,0.0000,2.0,2.0,4.0,6.0,,,
FEqZmGl36g,8.0,Accept,4.80,Reject,Reject,NO,0.001556,0.0000,6.0,4.0,2.0,6.0,6.0,,
2eAGrunxVz,8.0,Accept,7.50,Accept (Oral),Accept,YES,0.002211,0.0000,8.0,8.0,8.0,6.0,,,
ngOOlatCK6,7.0,Accept,5.33,Reject,Reject,NO,0.001924,0.0000,6.0,6.0,4.0,,,,
5o0zF03RP9,3.0,Reject,0.50,Withdrawn (treated as Reject),Reject,YES,0.001500,0.0000,2.0,0.0,0.0,0.0,,,
SzXDuBN8M1,8.0,Accept,7.50,Accept (Oral),Accept,YES,0.003074,0.0000,8.0,8.0,6.0,8.0,,,
Vsgq2ldr4K,8.0,Accept,7.50,Accept (Oral),Accept,YES,0.002229,0.0000,8.0,8.0,6.0,8.0,,,
70n4clRSTj,8.0,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,0.002813,0.0000,2.0,2.0,8.0,2.0,,,
gTMzRm8fb0,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.002937,0.0000,4.0,8.0,4.0,4.0,,,
OAXECnLxuk,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.001694,0.0000,6.0,4.0,6.0,6.0,,,
omg9K6lI93,5.0,Reject,1.00,Reject,Reject,YES,0.001963,0.0000,2.0,0.0,2.0,0.0,,,
pbbRmnFkjG,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.003077,0.0000,8.0,4.0,8.0,6.0,,,
CrCPeM5fRB,6.0,Accept,3.50,Reject,Reject,NO,0.001323,0.0000,4.0,2.0,4.0,4.0,,,
khHNHzRjMy,4.0,Reject,3.00,Reject,Reject,YES,0.002455,0.0000,6.0,2.0,2.0,2.0,,,
Vit5M0G5Gb,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.001850,0.0000,8.0,6.0,4.0,6.0,6.0,,
ulXBsAYSwU,6.0,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,0.001310,0.0000,2.0,2.0,0.0,,,,
nHrYBGujps,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.001725,0.0000,6.0,8.0,8.0,8.0,,,
32mrjmaeMP,8.0,Accept,4.50,Accept (Poster),Accept,YES,0.001991,0.0000,6.0,6.0,4.0,2.0,,,
JhziZbaefH,6.0,Accept,2.50,Withdrawn (treated as Reject),Reject,NO,0.001718,0.0000,2.0,2.0,4.0,2.0,,,
b8TlYh6PN6,8.0,Accept,8.00,Accept (Oral),Accept,YES,0.001682,0.0000,8.0,8.0,8.0,8.0,,,
KsmTaPygR9,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.002004,0.0000,4.0,8.0,6.0,4.0,,,
1CR1MTIgmq,4.0,Reject,0.00,Reject,Reject,YES,0.002450,0.0000,0.0,0.0,0.0,,,,
7yvz93kBw9,7.0,Accept,6.00,Accept (Poster),Accept,YES,0.002546,0.0000,6.0,6.0,6.0,,,,
MwuSvrthXq,8.0,Accept,4.00,Reject,Reject,NO,0.002407,0.0000,6.0,4.0,2.0,4.0,,,
WxTlAbRUE6,8.0,Accept,2.50,Reject,Reject,NO,0.001606,0.0000,2.0,4.0,2.0,2.0,,,
IHyY6vdYZw,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.002833,0.0000,4.0,8.0,2.0,6.0,,,
3wMdHl7JQ6,3.0,Reject,1.00,Reject,Reject,YES,0.002492,0.0000,2.0,0.0,0.0,2.0,,,
1PIfB5w05x,6.0,Accept,7.50,Accept (Poster),Accept,YES,0.002856,0.0000,8.0,8.0,8.0,6.0,,,
0zKfU1rsXd,7.0,Accept,5.00,Accept (Poster),Accept,YES,0.002485,0.0000,4.0,4.0,6.0,6.0,,,
4Mvdn1m861,5.0,Reject,3.50,Reject,Reject,YES,0.001450,0.0000,2.0,4.0,4.0,4.0,,,
TX4k7BF6aO,8.0,Accept,5.33,Accept (Poster),Accept,YES,0.002596,0.0000,4.0,4.0,8.0,,,,
jLO4pSi5Pt,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.002449,0.0000,4.0,6.0,4.0,6.0,,,
GiaF5cFIpI,4.0,Reject,3.50,Reject,Reject,YES,0.002542,0.0000,6.0,2.0,4.0,2.0,,,
FlcMckO6x5,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.001914,0.0000,6.0,8.0,4.0,6.0,,,
3YKeB9R1g9,6.0,Accept,8.00,Accept (Poster),Accept,YES,0.001906,0.0000,8.0,8.0,8.0,,,,
c339hUw3cy,6.0,Accept,4.00,Reject,Reject,NO,0.001577,0.0000,6.0,2.0,6.0,2.0,,,
NlHHlqP1zk,6.0,Reject,4.67,Reject,Reject,YES,0.002504,0.0000,2.0,6.0,6.0,,,,
Me0n0iESJY,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.001807,0.0000,4.0,8.0,8.0,4.0,,,
NIvqiJ8R4J,6.0,Accept,5.00,Reject,Reject,NO,0.001721,0.0000,4.0,6.0,2.0,8.0,,,
IdJakw2jta,8.0,Accept,4.50,Withdrawn (treated as Reject),Reject,NO,0.002176,0.0000,4.0,6.0,4.0,4.0,,,
0aBAAS0rRT,3.0,Reject,5.33,Accept (Poster),Accept,NO,0.001870,0.0000,6.0,4.0,6.0,,,,
BGEdvJ35PV,8.0,Accept,3.33,Reject,Reject,NO,0.002226,0.0000,4.0,2.0,4.0,,,,
JEN4nsDgh9,5.0,Reject,3.50,Reject,Reject,YES,0.001715,0.0000,4.0,4.0,2.0,4.0,,,
kpLRYtPGt3,9.0,Accept,7.00,Accept (Oral),Accept,YES,0.002635,0.0000,6.0,8.0,6.0,8.0,,,
lbLAgGF8OO,8.0,Accept,7.50,Accept (Poster),Accept,YES,0.001918,0.0000,8.0,6.0,8.0,8.0,,,
RtS4UqSmNt,6.0,Accept,6.50,Accept (Oral),Accept,YES,0.002159,0.0000,8.0,2.0,8.0,8.0,,,
R8y089OGoo,6.0,Accept,5.00,Accept (Poster),Accept,YES,0.002469,0.0000,4.0,4.0,6.0,6.0,,,
4Nsx2kZkex,3.0,Reject,1.00,Reject,Reject,YES,0.001496,0.0000,0.0,2.0,0.0,2.0,,,
XHzrBDzKaX,8.5,Accept,5.00,Reject,Reject,NO,0.002900,0.0000,4.0,8.0,4.0,4.0,,,
Xpj0yeMhpz,8.0,Accept,7.00,Accept (Poster),Accept,YES,0.002541,0.0000,4.0,6.0,8.0,10.0,,,
HHYd4Pz5Lp,6.0,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,0.002457,0.0000,0.0,2.0,2.0,,,,
rI2Fa13fUL,8.0,Accept,5.00,Reject,Reject,NO,0.001775,0.0000,6.0,6.0,4.0,4.0,,,
rzGEfYr2ZC,4.5,Reject,0.00,Reject,Reject,YES,0.002966,0.0000,0.0,0.0,0.0,,,,
JjJzbMDGsx,8.0,Accept,7.00,Accept (Poster),Accept,YES,0.002533,0.0000,8.0,6.0,6.0,8.0,,,
crKJJ4Ej60,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.002904,0.0000,4.0,6.0,6.0,,,,
Wes9HF3ppt,8.0,Accept,5.00,Reject,Reject,NO,0.002405,0.0000,4.0,6.0,6.0,4.0,,,
3V559xWIWc,8.0,Accept,4.50,Reject,Reject,NO,0.002620,0.0000,4.0,6.0,6.0,2.0,,,
c2ozZYoZFd,8.0,Accept,2.67,Reject,Reject,NO,0.002482,0.0000,2.0,4.0,2.0,,,,
Y9TgNFsNyP,6.0,Accept,5.50,Reject,Reject,NO,0.001723,0.0000,6.0,4.0,4.0,8.0,,,
6rz7VyAatm,8.0,Accept,3.50,Reject,Reject,NO,0.001700,0.0000,0.0,6.0,2.0,6.0,,,
jJedqisfOt,5.0,Reject,5.00,Accept (Poster),Accept,NO,0.002456,0.0000,6.0,2.0,6.0,6.0,,,
bH5M0ts8Y6,8.0,Accept,5.00,Accept (Poster),Accept,YES,0.001828,0.0000,4.0,8.0,4.0,4.0,,,
blFpxJ3A08,4.0,Reject,1.00,Withdrawn (treated as Reject),Reject,YES,0.002492,0.0000,2.0,2.0,0.0,0.0,,,
aiM6bRd6bG,6.0,Accept,4.00,Reject,Reject,NO,0.002438,0.0000,4.0,2.0,6.0,4.0,,,
Dxb9zYD23D,7.0,Accept,3.50,Withdrawn (treated as Reject),Reject,NO,0.002321,0.0000,4.0,4.0,2.0,4.0,,,
ck0aZTAnwK,8.0,Accept,7.50,Accept (Oral),Accept,YES,0.002202,0.0000,6.0,8.0,8.0,8.0,,,
yR5QX5cTEy,8.0,Accept,5.00,Reject,Reject,NO,0.002519,0.0000,4.0,6.0,8.0,2.0,,,
vPSiCA3CkD,8.0,Accept,7.50,Accept (Poster),Accept,YES,0.003067,0.0000,8.0,10.0,6.0,6.0,,,
TgLW2DiRDG,6.0,Accept,7.50,Accept (Oral),Accept,YES,0.001790,0.0000,8.0,6.0,8.0,8.0,,,
v4bQPw4aTW,6.5,Accept,4.50,Reject,Reject,NO,0.002385,0.0000,6.0,4.0,4.0,4.0,,,
