paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
5izkRQEo5c,3.0,Reject,2.67,Reject,Reject,YES,0.112143,0.0000,4.0,2.0,2.0,,,,
zZ2RhS3nRI,4.0,Reject,2.50,Reject,Reject,YES,0.147708,0.0000,2.0,2.0,2.0,4.0,,,
Gxw1EDSm9S,5.5,Accept,1.50,Reject,Reject,NO,0.150303,0.0000,2.0,2.0,2.0,0.0,,,
2rLgh5ewD6,6.0,Accept,2.67,Reject,Reject,NO,0.149561,0.0000,2.0,2.0,4.0,,,,
lZrZgZ9wIu,4.0,Reject,2.00,Reject,Reject,YES,0.153135,0.0000,2.0,2.0,2.0,2.0,,,
znuYrkEWmZ,3.0,Reject,2.40,Reject,Reject,YES,0.111807,0.0000,2.0,2.0,4.0,2.0,2.0,,
MhxBJsaeUr,4.0,Reject,2.67,Reject,Reject,YES,0.127582,0.0000,4.0,2.0,2.0,,,,
s344pGE2JA,4.0,Reject,2.50,Reject,Reject,YES,0.125319,0.0000,2.0,2.0,2.0,4.0,,,
wkRrpXD8Np,6.0,Accept,2.67,Reject,Reject,NO,0.185954,0.0000,2.0,2.0,4.0,,,,
Ys2OgNLNV7,3.0,Reject,2.00,Reject,Reject,YES,0.135178,0.0000,0.0,2.0,4.0,,,,
0xHWd4CUaX,3.0,Reject,2.00,Reject,Reject,YES,0.107222,0.0000,0.0,2.0,4.0,2.0,,,
4eZqQ0Qs8u,3.0,Reject,2.50,Reject,Reject,YES,0.122174,0.0000,2.0,4.0,2.0,2.0,,,
aY6RcnTH4v,6.0,Accept,2.50,Reject,Reject,NO,0.133585,0.0000,2.0,0.0,4.0,4.0,,,
WkGnZsnCDR,2.0,Reject,2.00,Reject,Reject,YES,0.118983,0.0000,4.0,2.0,0.0,2.0,,,
4hkMvkzai5,5.0,Accept,2.80,Reject,Reject,NO,0.141887,0.0000,4.0,2.0,2.0,4.0,2.0,,
iU6DisYw06,4.0,Reject,1.00,Reject,Reject,YES,0.123007,0.0000,0.0,0.0,2.0,2.0,,,
M4MeBjYiHl,3.0,Reject,2.00,Reject,Reject,YES,0.132227,0.0000,2.0,2.0,2.0,2.0,,,
sknMpr8NWU,5.0,Reject,2.50,Reject,Reject,YES,0.135354,0.0000,2.0,2.0,2.0,4.0,,,
lJxRCW0UOI,3.0,Reject,1.33,Reject,Reject,YES,0.120284,0.0000,2.0,2.0,0.0,,,,
FNJhT5bL6n,3.0,Reject,2.50,Reject,Reject,YES,0.191103,0.0000,2.0,2.0,2.0,4.0,,,
56W2REpMPw,1.0,Reject,2.00,Reject,Reject,YES,0.110624,0.0000,2.0,2.0,2.0,2.0,,,
P7NUVF6wo4,4.0,Reject,2.80,Reject,Reject,YES,0.120949,0.0000,2.0,2.0,6.0,2.0,2.0,,
C3FEh03LMO,6.0,Accept,1.50,Reject,Reject,NO,0.130502,0.0000,0.0,0.0,0.0,6.0,,,
mK7i1td7uQ,5.0,Reject,2.50,Reject,Reject,YES,0.143462,0.0000,2.0,2.0,2.0,4.0,,,
vhv48Bxpud,3.0,Reject,2.00,Reject,Reject,YES,0.128347,0.0000,2.0,0.0,4.0,,,,
