paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
5izkRQEo5c,2.5,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,,,,
2rLgh5ewD6,6.0,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,,,,
lZrZgZ9wIu,5.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
zZ2RhS3nRI,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
Gxw1EDSm9S,5.5,Accept,1.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,0.0,,,
wkRrpXD8Np,7.0,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,,,,
MhxBJsaeUr,5.0,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,,,,
Ys2OgNLNV7,4.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,4.0,,,,
s344pGE2JA,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
znuYrkEWmZ,4.5,Reject,2.40,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,2.0,,
4eZqQ0Qs8u,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
WkGnZsnCDR,3.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,0.0,2.0,,,
aY6RcnTH4v,6.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,0.0,4.0,4.0,,,
4hkMvkzai5,5.0,Reject,2.80,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,4.0,2.0,,
0xHWd4CUaX,2.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,0.0,2.0,4.0,2.0,,,
iU6DisYw06,3.5,Reject,1.00,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
M4MeBjYiHl,4.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
lJxRCW0UOI,4.0,Reject,1.33,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,0.0,,,,
sknMpr8NWU,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
FNJhT5bL6n,3.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
56W2REpMPw,2.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
P7NUVF6wo4,5.0,Reject,2.80,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,6.0,2.0,2.0,,
C3FEh03LMO,5.0,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,0.0,0.0,0.0,6.0,,,
mK7i1td7uQ,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
lAd8vjQhQG,5.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
uMj2gwldEY,3.5,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,6.0,0.0,,,,
R3VBfYVK1x,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,0.0,6.0,,,
eJ1yDj6vtH,4.0,Reject,2.40,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,2.0,,
61hLQpeMtc,3.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,4.0,2.0,,,
q1Waov7fd2,4.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
IWer3Ciqkp,4.0,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,0.0,,,
KMFotFeGjJ,2.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,,,,
