paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
5izkRQEo5c,4.0,Reject,2.67,Reject,Reject,YES,0.001246,0.0000,4.0,2.0,2.0,,,,
zZ2RhS3nRI,3.0,Reject,2.50,Reject,Reject,YES,0.002551,0.0000,2.0,2.0,2.0,4.0,,,
2rLgh5ewD6,8.0,Accept,2.67,Reject,Reject,NO,0.002057,0.0000,2.0,2.0,4.0,,,,
znuYrkEWmZ,6.0,Accept,2.40,Reject,Reject,NO,0.001906,0.0000,2.0,2.0,4.0,2.0,2.0,,
s344pGE2JA,6.0,Accept,2.50,Reject,Reject,NO,0.002531,0.0000,2.0,2.0,2.0,4.0,,,
Ys2OgNLNV7,4.0,Reject,2.00,Reject,Reject,YES,0.001296,0.0000,0.0,2.0,4.0,,,,
wkRrpXD8Np,6.0,Accept,2.67,Reject,Reject,NO,0.002346,0.0000,2.0,2.0,4.0,,,,
Gxw1EDSm9S,6.0,Accept,1.50,Reject,Reject,NO,0.003073,0.0000,2.0,2.0,2.0,0.0,,,
lZrZgZ9wIu,5.0,Reject,2.00,Reject,Reject,YES,0.003348,0.0000,2.0,2.0,2.0,2.0,,,
MhxBJsaeUr,6.0,Accept,2.67,Reject,Reject,NO,0.001603,0.0000,4.0,2.0,2.0,,,,
aY6RcnTH4v,7.0,Accept,2.50,Reject,Reject,NO,0.002004,0.0000,2.0,0.0,4.0,4.0,,,
0xHWd4CUaX,4.0,Reject,2.00,Reject,Reject,YES,0.001184,0.0000,0.0,2.0,4.0,2.0,,,
4eZqQ0Qs8u,3.0,Reject,2.50,Reject,Reject,YES,0.002112,0.0000,2.0,4.0,2.0,2.0,,,
4hkMvkzai5,6.0,Accept,2.80,Reject,Reject,NO,0.002366,0.0000,4.0,2.0,2.0,4.0,2.0,,
lJxRCW0UOI,4.0,Reject,1.33,Reject,Reject,YES,0.002348,0.0000,2.0,2.0,0.0,,,,
sknMpr8NWU,6.0,Accept,2.50,Reject,Reject,NO,0.002804,0.0000,2.0,2.0,2.0,4.0,,,
iU6DisYw06,4.5,Reject,1.00,Reject,Reject,YES,0.002865,0.0000,0.0,0.0,2.0,2.0,,,
FNJhT5bL6n,5.0,Reject,2.50,Reject,Reject,YES,0.002251,0.0000,2.0,2.0,2.0,4.0,,,
M4MeBjYiHl,3.0,Reject,2.00,Reject,Reject,YES,0.001327,0.0000,2.0,2.0,2.0,2.0,,,
WkGnZsnCDR,3.0,Reject,2.00,Reject,Reject,YES,0.001915,0.0000,4.0,2.0,0.0,2.0,,,
vhv48Bxpud,4.0,Reject,2.00,Reject,Reject,YES,0.002690,0.0000,2.0,0.0,4.0,,,,
C3FEh03LMO,6.0,Accept,1.50,Reject,Reject,NO,0.001869,0.0000,0.0,0.0,0.0,6.0,,,
P7NUVF6wo4,4.0,Reject,2.80,Reject,Reject,YES,0.002383,0.0000,2.0,2.0,6.0,2.0,2.0,,
mK7i1td7uQ,4.5,Reject,2.50,Reject,Reject,YES,0.003035,0.0000,2.0,2.0,2.0,4.0,,,
56W2REpMPw,3.0,Reject,2.00,Reject,Reject,YES,0.002156,0.0000,2.0,2.0,2.0,2.0,,,
eJ1yDj6vtH,6.0,Accept,2.40,Reject,Reject,NO,0.001919,0.0000,2.0,2.0,2.0,4.0,2.0,,
R3VBfYVK1x,4.0,Reject,2.50,Reject,Reject,YES,0.001508,0.0000,2.0,2.0,0.0,6.0,,,
uMj2gwldEY,3.0,Reject,2.67,Reject,Reject,YES,0.002043,0.0000,2.0,6.0,0.0,,,,
IWer3Ciqkp,6.0,Accept,1.50,Reject,Reject,NO,0.002364,0.0000,2.0,2.0,2.0,0.0,,,
61hLQpeMtc,5.0,Reject,2.00,Reject,Reject,YES,0.001795,0.0000,2.0,0.0,4.0,2.0,,,
KMFotFeGjJ,4.0,Reject,2.00,Reject,Reject,YES,0.001816,0.0000,2.0,2.0,2.0,,,,
q1Waov7fd2,3.0,Reject,2.00,Reject,Reject,YES,0.002527,0.0000,2.0,2.0,2.0,2.0,,,
lAd8vjQhQG,6.0,Accept,2.00,Reject,Reject,NO,0.001414,0.0000,2.0,2.0,2.0,2.0,,,
xniQIl8oTw,6.0,Accept,2.50,Reject,Reject,NO,0.003484,0.0000,2.0,2.0,2.0,4.0,,,
yACLq4HoKi,6.0,Accept,1.33,Reject,Reject,NO,0.001862,0.0000,0.0,2.0,2.0,,,,
WyssUYivo9,5.0,Reject,2.00,Reject,Reject,YES,0.002480,0.0000,0.0,4.0,2.0,,,,
LPqjfqw2OI,6.0,Accept,2.00,Reject,Reject,NO,0.002109,0.0000,2.0,2.0,2.0,2.0,,,
aTyV6Omm6m,8.0,Accept,2.50,Reject,Reject,NO,0.002319,0.0000,2.0,0.0,4.0,4.0,,,
JtIw8lYqdl,4.0,Reject,2.50,Reject,Reject,YES,0.002625,0.0000,2.0,4.0,2.0,2.0,,,
sSJLsphFyC,4.0,Reject,2.00,Reject,Reject,YES,0.001967,0.0000,2.0,2.0,2.0,2.0,,,
DEWB8yCoOu,6.5,Accept,2.50,Reject,Reject,NO,0.003151,0.0000,2.0,2.0,6.0,0.0,,,
IhqQfePPFs,5.0,Reject,2.50,Reject,Reject,YES,0.001638,0.0000,2.0,4.0,2.0,2.0,,,
OCkJKMhIzV,6.0,Accept,2.50,Reject,Reject,NO,0.002389,0.0000,2.0,2.0,2.0,4.0,,,
6ZZzta9lRx,6.0,Accept,2.00,Reject,Reject,NO,0.002785,0.0000,2.0,2.0,2.0,,,,
VQw0mCpXkg,4.0,Reject,2.00,Reject,Reject,YES,0.002452,0.0000,2.0,2.0,2.0,2.0,,,
5sEj8EL8J4,3.0,Reject,2.67,Reject,Reject,YES,0.002114,0.0000,2.0,2.0,4.0,,,,
ElhPaYd2o1,5.0,Reject,2.00,Reject,Reject,YES,0.001314,0.0000,2.0,2.0,2.0,2.0,,,
qIF2t8scgb,8.0,Accept,2.00,Reject,Reject,NO,0.002439,0.0000,2.0,2.0,2.0,,,,
tNnXu5bKoo,8.0,Accept,2.67,Reject,Reject,NO,0.002706,0.0000,4.0,2.0,2.0,,,,
ae6bKeffGZ,6.0,Accept,2.50,Reject,Reject,NO,0.001375,0.0000,2.0,2.0,2.0,4.0,,,
yQuTa0yukr,8.0,Accept,2.50,Reject,Reject,NO,0.001514,0.0000,4.0,2.0,2.0,2.0,,,
YH1gieQrxH,4.0,Reject,2.67,Reject,Reject,YES,0.003290,0.0000,2.0,2.0,4.0,,,,
hRIhAppr3a,3.5,Reject,1.50,Reject,Reject,YES,0.003076,0.0000,0.0,4.0,2.0,0.0,,,
CZWcDWbs0h,4.0,Reject,2.00,Reject,Reject,YES,0.002380,0.0000,2.0,2.0,2.0,2.0,,,
yP15n9p1Lr,6.0,Accept,2.50,Reject,Reject,NO,0.002387,0.0000,4.0,2.0,2.0,2.0,,,
GE0b5aQAvm,1.0,Reject,2.67,Reject,Reject,YES,0.002048,0.0000,2.0,4.0,2.0,,,,
clCsSQ5rKg,3.5,Reject,2.00,Reject,Reject,YES,0.002273,0.0000,2.0,2.0,2.0,,,,
km8rXu0RnF,5.0,Reject,2.50,Reject,Reject,YES,0.002136,0.0000,2.0,2.0,4.0,2.0,,,
neTgHJlQch,2.0,Reject,2.67,Reject,Reject,YES,0.002412,0.0000,2.0,4.0,2.0,,,,
im2a2MHoke,6.0,Accept,2.50,Reject,Reject,NO,0.001568,0.0000,2.0,2.0,4.0,2.0,,,
l7EKvYs63z,6.0,Accept,2.50,Reject,Reject,NO,0.003155,0.0000,2.0,4.0,2.0,2.0,,,
QA4wj30Bhf,4.0,Reject,2.50,Reject,Reject,YES,0.002002,0.0000,2.0,4.0,2.0,2.0,,,
bU8tRjuanU,4.0,Reject,2.40,Reject,Reject,YES,0.002398,0.0000,4.0,2.0,2.0,2.0,2.0,,
B2jdDDq7GF,6.0,Accept,2.50,Reject,Reject,NO,0.002445,0.0000,2.0,4.0,2.0,2.0,,,
ZFKZ8dQ1EL,4.0,Reject,2.00,Reject,Reject,YES,0.002175,0.0000,2.0,2.0,2.0,2.0,,,
mMLzMZrH5Y,4.0,Reject,2.00,Reject,Reject,YES,0.002419,0.0000,2.0,0.0,2.0,4.0,,,
ioZfV8LMqR,6.0,Accept,2.50,Reject,Reject,NO,0.002063,0.0000,2.0,2.0,4.0,2.0,,,
DRazLe6FAZ,7.0,Accept,2.50,Reject,Reject,NO,0.002285,0.0000,0.0,4.0,4.0,2.0,,,
NgJDFIJF5c,8.0,Accept,2.67,Reject,Reject,NO,0.002148,0.0000,2.0,2.0,4.0,,,,
boxKMr17zV,2.0,Reject,2.50,Reject,Reject,YES,0.001311,0.0000,4.0,0.0,4.0,2.0,,,
