paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
zZ2RhS3nRI,5.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
lZrZgZ9wIu,6.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
2rLgh5ewD6,6.0,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,,,,
5izkRQEo5c,3.5,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,,,,
Gxw1EDSm9S,7.5,Accept,1.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,0.0,,,
s344pGE2JA,6.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
wkRrpXD8Np,7.5,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,,,,
Ys2OgNLNV7,7.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,0.0,2.0,4.0,,,,
znuYrkEWmZ,6.5,Accept,2.40,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,2.0,2.0,,
MhxBJsaeUr,6.0,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,2.0,,,,
0xHWd4CUaX,6.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,0.0,2.0,4.0,2.0,,,
aY6RcnTH4v,6.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,0.0,4.0,4.0,,,
4hkMvkzai5,6.0,Accept,2.80,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,2.0,4.0,2.0,,
4eZqQ0Qs8u,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
WkGnZsnCDR,3.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,0.0,2.0,,,
M4MeBjYiHl,3.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
iU6DisYw06,6.5,Accept,1.00,Reject,Reject,NO,0.0000,0.0000,0.0,0.0,2.0,2.0,,,
lJxRCW0UOI,5.5,Accept,1.33,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,0.0,,,,
FNJhT5bL6n,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
sknMpr8NWU,6.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
vhv48Bxpud,6.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,0.0,4.0,,,,
56W2REpMPw,2.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
mK7i1td7uQ,6.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
C3FEh03LMO,7.5,Accept,1.50,Reject,Reject,NO,0.0000,0.0000,0.0,0.0,0.0,6.0,,,
P7NUVF6wo4,7.0,Accept,2.80,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,6.0,2.0,2.0,,
lAd8vjQhQG,6.5,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
uMj2gwldEY,5.5,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,6.0,0.0,,,,
R3VBfYVK1x,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,0.0,6.0,,,
eJ1yDj6vtH,5.0,Reject,2.40,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,4.0,2.0,,
61hLQpeMtc,3.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,0.0,4.0,2.0,,,
q1Waov7fd2,4.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
IWer3Ciqkp,6.0,Accept,1.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,0.0,,,
KMFotFeGjJ,5.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,,,,
xniQIl8oTw,7.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
LPqjfqw2OI,7.5,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
aTyV6Omm6m,7.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,0.0,4.0,4.0,,,
yACLq4HoKi,7.5,Accept,1.33,Reject,Reject,NO,0.0000,0.0000,0.0,2.0,2.0,,,,
DEWB8yCoOu,6.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,6.0,0.0,,,
IhqQfePPFs,5.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
WyssUYivo9,4.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,0.0,4.0,2.0,,,,
JtIw8lYqdl,6.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
sSJLsphFyC,7.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
ElhPaYd2o1,4.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
VQw0mCpXkg,6.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
5sEj8EL8J4,6.0,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,,,,
OCkJKMhIzV,6.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
6ZZzta9lRx,6.5,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,,,,
qIF2t8scgb,7.5,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,,,,
tNnXu5bKoo,6.5,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,2.0,,,,
ae6bKeffGZ,5.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,4.0,,,
YH1gieQrxH,6.0,Accept,2.67,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,,,,
yQuTa0yukr,7.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,2.0,2.0,,,
CZWcDWbs0h,5.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,2.0,2.0,,,
hRIhAppr3a,5.0,Reject,1.50,Reject,Reject,YES,0.0000,0.0000,0.0,4.0,2.0,0.0,,,
clCsSQ5rKg,6.5,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,2.0,,,,
l7EKvYs63z,7.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,4.0,2.0,2.0,,,
GE0b5aQAvm,3.5,Reject,2.67,Reject,Reject,YES,0.0000,0.0000,2.0,4.0,2.0,,,,
yP15n9p1Lr,6.5,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,4.0,2.0,2.0,2.0,,,
bU8tRjuanU,3.5,Reject,2.40,Reject,Reject,YES,0.0000,0.0000,4.0,2.0,2.0,2.0,2.0,,
im2a2MHoke,5.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
km8rXu0RnF,6.0,Accept,2.50,Reject,Reject,NO,0.0000,0.0000,2.0,2.0,4.0,2.0,,,
mMLzMZrH5Y,6.0,Accept,2.00,Reject,Reject,NO,0.0000,0.0000,2.0,0.0,2.0,4.0,,,
