paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
lZrZgZ9wIu,7.0,Accept,2.00,Reject,Reject,NO,0.009021,0.0000,2.0,2.0,2.0,2.0,,,
2rLgh5ewD6,8.0,Accept,2.67,Reject,Reject,NO,0.009869,0.0000,2.0,2.0,4.0,,,,
5izkRQEo5c,6.0,Accept,2.67,Reject,Reject,NO,0.006870,0.0000,4.0,2.0,2.0,,,,
zZ2RhS3nRI,6.5,Accept,2.50,Reject,Reject,NO,0.011083,0.0000,2.0,2.0,2.0,4.0,,,
Gxw1EDSm9S,8.0,Accept,1.50,Reject,Reject,NO,0.010000,0.0000,2.0,2.0,2.0,0.0,,,
s344pGE2JA,7.5,Accept,2.50,Reject,Reject,NO,0.009611,0.0000,2.0,2.0,2.0,4.0,,,
znuYrkEWmZ,7.0,Accept,2.40,Reject,Reject,NO,0.008703,0.0000,2.0,2.0,4.0,2.0,2.0,,
Ys2OgNLNV7,7.0,Accept,2.00,Reject,Reject,NO,0.008847,0.0000,0.0,2.0,4.0,,,,
MhxBJsaeUr,7.0,Accept,2.67,Reject,Reject,NO,0.010196,0.0000,4.0,2.0,2.0,,,,
wkRrpXD8Np,7.0,Accept,2.67,Reject,Reject,NO,0.010289,0.0000,2.0,2.0,4.0,,,,
aY6RcnTH4v,8.0,Accept,2.50,Reject,Reject,NO,0.010179,0.0000,2.0,0.0,4.0,4.0,,,
0xHWd4CUaX,7.0,Accept,2.00,Reject,Reject,NO,0.008247,0.0000,0.0,2.0,4.0,2.0,,,
WkGnZsnCDR,6.0,Accept,2.00,Reject,Reject,NO,0.008129,0.0000,4.0,2.0,0.0,2.0,,,
4eZqQ0Qs8u,6.5,Accept,2.50,Reject,Reject,NO,0.009612,0.0000,2.0,4.0,2.0,2.0,,,
4hkMvkzai5,8.0,Accept,2.80,Reject,Reject,NO,0.009777,0.0000,4.0,2.0,2.0,4.0,2.0,,
lJxRCW0UOI,6.5,Accept,1.33,Reject,Reject,NO,0.008979,0.0000,2.0,2.0,0.0,,,,
sknMpr8NWU,7.0,Accept,2.50,Reject,Reject,NO,0.010781,0.0000,2.0,2.0,2.0,4.0,,,
M4MeBjYiHl,7.0,Accept,2.00,Reject,Reject,NO,0.009541,0.0000,2.0,2.0,2.0,2.0,,,
iU6DisYw06,7.0,Accept,1.00,Reject,Reject,NO,0.009534,0.0000,0.0,0.0,2.0,2.0,,,
FNJhT5bL6n,6.5,Accept,2.50,Reject,Reject,NO,0.010770,0.0000,2.0,2.0,2.0,4.0,,,
C3FEh03LMO,8.5,Accept,1.50,Reject,Reject,NO,0.008516,0.0000,0.0,0.0,0.0,6.0,,,
mK7i1td7uQ,6.5,Accept,2.50,Reject,Reject,NO,0.010618,0.0000,2.0,2.0,2.0,4.0,,,
56W2REpMPw,3.0,Reject,2.00,Reject,Reject,YES,0.008330,0.0000,2.0,2.0,2.0,2.0,,,
P7NUVF6wo4,8.0,Accept,2.80,Reject,Reject,NO,0.009266,0.0000,2.0,2.0,6.0,2.0,2.0,,
vhv48Bxpud,7.0,Accept,2.00,Reject,Reject,NO,0.009582,0.0000,2.0,0.0,4.0,,,,
lAd8vjQhQG,6.5,Accept,2.00,Reject,Reject,NO,0.008939,0.0000,2.0,2.0,2.0,2.0,,,
